Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2024/1/1,2024,1,1,,-0.7,,-3.1,,-1.9,,19.9,,0,,,,,,0.1,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/2,2024,1,2,,1.5,,-1.5,,0,,18,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/3,2024,1,3,,3.1,,0.6,,1.9,,16.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/4,2024,1,4,,1.8,,-6,,-2.1,,20.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/5,2024,1,5,,0.4,,-2.1,,-0.9,,18.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/6,2024,1,6,,2.1,,-3.5,,-0.7,,18.7,,0,,,,,,5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/7,2024,1,7,,0.7,,-4.2,,-1.7,,19.7,,0,,,,,,0.1,,5,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/8,2024,1,8,,3.7,,0.6,,2.2,,15.8,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/9,2024,1,9,,7,,0.6,,3.8,,14.2,,0,,,,,,31.2,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/10,2024,1,10,,6.7,,0.7,,3.7,,14.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/11,2024,1,11,,2.8,,0.6,,1.7,,16.3,,0,,,,,,3.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/12,2024,1,12,,3.9,,-0.1,,1.9,,16.1,,0,,,,,,11.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/13,2024,1,13,,6.8,,-2.9,,1.9,,16.1,,0,,,,,,3.3,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/14,2024,1,14,,-2.5,,-11.2,,-6.8,,24.8,,0,,,,,,0.1,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/15,2024,1,15,,-7.1,,-12.5,,-9.8,,27.8,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2024/1/16,2024,1,16,,-6.3,,-10.9,,-8.6,,26.6,,0,,,,,,0.9,,1,,,M,,M
