Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2022/1/1,2022,1,1,,5.1,,-2.1,,1.5,,16.5,,0,,,,,,2.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/2,2022,1,2,,-2.1,,-10.5,,-6.3,,24.3,,0,,,,,,2,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/3,2022,1,3,,-4,,-12.9,,-8.4,,26.4,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/4,2022,1,4,,3.3,,-5.7,,-1.2,,19.2,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/5,2022,1,5,,4.9,,-4.5,,0.2,,17.8,,0,,,,,,0.3,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/6,2022,1,6,,-1.5,,-6.3,,-3.9,,21.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/7,2022,1,7,,-4.5,,-11.6,,-8.1,,26.1,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/8,2022,1,8,,1.9,,-12.6,,-5.4,,23.4,,0,,,,,,0.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/9,2022,1,9,,4.3,,-6.6,,-1.1,,19.1,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/10,2022,1,10,,-6.2,,-17.4,,-11.8,,29.8,,0,,,,,,0.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/11,2022,1,11,,-1.7,,-20,,-10.8,,28.8,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/12,2022,1,12,,2.4,,-1.7,,0.3,,17.7,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/13,2022,1,13,,2,,-0.8,,0.6,,17.4,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/14,2022,1,14,,-0.3,,-18.1,,-9.2,,27.2,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/15,2022,1,15,,-12.6,,-20.4,,-16.5,,34.5,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/16,2022,1,16,,0.3,,-13.4,,-6.6,,24.6,,0,,,,,,3.1,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/17,2022,1,17,,-2.3,,-5,,-3.6,,21.6,,0,,,,,,36.2,,25,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/18,2022,1,18,,0.2,,-10.1,,-5,,23,,0,,,,,,0.8,,32,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/19,2022,1,19,,4.6,,-7.3,,-1.4,,19.4,,0,,,,,,0,,30,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/20,2022,1,20,,-7.3,,-16.4,,-11.9,,29.9,,0,,,,,,0,,24,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/21,2022,1,21,,-8.9,,-17.7,,-13.3,,31.3,,0,,,,,,0.1,,23,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/22,2022,1,22,,-3.8,,-12.4,,-8.1,,26.1,,0,,,,,,0,,22,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/23,2022,1,23,,-4.1,,-14.5,,-9.3,,27.3,,0,,,,,,0.1,,20,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/24,2022,1,24,,-3.8,,-14.7,,-9.2,,27.2,,0,,,,,,4.7,,20,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/25,2022,1,25,,-5.4,,-12.3,,-8.9,,26.9,,0,,,,,,0,,24,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/26,2022,1,26,,-8.6,,-14,,-11.3,,29.3,,0,,,,,,0.1,,24,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2022/1/27,2022,1,27,,-3.1,,-9,,-6,,24,,0,,,,,,0,,20,,,M,,M
