Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2021/1/1,2021,1,1,,2.5,,-1,,0.7,,17.3,,0,,,,,,6.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/2,2021,1,2,,2.2,,-0.9,,0.7,,17.3,,0,,,,,,10.8,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/3,2021,1,3,,2.1,,0.2,,1.1,,16.9,,0,,,,,,1.7,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/4,2021,1,4,,1.7,,-0.1,,0.8,,17.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/5,2021,1,5,,1.6,,0.6,,1.1,,16.9,,0,,,,,,0.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/6,2021,1,6,,2.1,,-0.3,,0.9,,17.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/7,2021,1,7,,0.8,,-4.8,,-2,,20,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/8,2021,1,8,,-1.3,,-8.3,,-4.8,,22.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/9,2021,1,9,,4.1,,-2.4,,0.8,,17.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/10,2021,1,10,,2.1,,-2,,0.1,,17.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/11,2021,1,11,,1.2,,-3.1,,-1,,19,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/12,2021,1,12,,0,,-1.1,,-0.5,,18.5,,0,,,,,,0.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/13,2021,1,13,,3.6,,-0.5,,1.5,,16.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/14,2021,1,14,,5.2,,1.7,,3.4,,14.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/15,2021,1,15,,5.6,,2.7,,4.2,,13.8,,0,,,,,,2.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/16,2021,1,16,,5,,-0.3,,2.3,,15.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/17,2021,1,17,,5.1,,-0.6,,2.3,,15.7,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/18,2021,1,18,,1.2,,-2.3,,-0.5,,18.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/19,2021,1,19,,2.2,,-2.2,,0,,18,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/20,2021,1,20,,-0.8,,-7.1,,-4,,22,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/21,2021,1,21,,4,,-0.8,,1.6,,16.4,,0,,,,,,0.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/22,2021,1,22,,2.6,,-6.4,,-1.9,,19.9,,0,,,,,,0.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/23,2021,1,23,,-4,,-10.6,,-7.3,,25.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/24,2021,1,24,,-1.8,,-6.2,,-4,,22,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/25,2021,1,25,,2.3,,-2.1,,0.1,,17.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/26,2021,1,26,,0.9,,-3.9,,-1.5,,19.5,,0,,,,,,8.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/27,2021,1,27,,-2.5,,-8.3,,-5.4,,23.4,,0,,,,,,0,,6,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/28,2021,1,28,,-6.7,,-12.1,,-9.4,,27.4,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/29,2021,1,29,,-6.6,,-12.2,,-9.4,,27.4,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/30,2021,1,30,,-2,,-10.5,,-6.3,,24.3,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/1/31,2021,1,31,,-4.2,,-8.8,,-6.5,,24.5,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/1,2021,2,1,,-2,,-9.6,,-5.8,,23.8,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/2,2021,2,2,,0,,-7.7,,-3.9,,21.9,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/3,2021,2,3,,1,,-5.9,,-2.5,,20.5,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/4,2021,2,4,,4,,-3.9,,0.1,,17.9,,0,,,,,,0.9,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/5,2021,2,5,,3.1,,-6.6,,-1.7,,19.7,,0,,,,,,2.3,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/6,2021,2,6,,-5.1,,-8.1,,-6.6,,24.6,,0,,,,,,0,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/7,2021,2,7,,-5.2,,-11.6,,-8.4,,26.4,,0,,,,,,0.8,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/8,2021,2,8,,-5.7,,-11.7,,-8.7,,26.7,,0,,,,,,0.2,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/9,2021,2,9,,-2.4,,-8.8,,-5.6,,23.6,,0,,,,,,0.3,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/10,2021,2,10,,-4.2,,-10.1,,-7.2,,25.2,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/11,2021,2,11,,-2.8,,-9.8,,-6.3,,24.3,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/12,2021,2,12,,-8.1,,-13.5,,-10.8,,28.8,,0,,,,,,0.3,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/13,2021,2,13,,-8.6,,-11.8,,-10.2,,28.2,,0,,,,,,1.6,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/14,2021,2,14,,-3,,-11.2,,-7.1,,25.1,,0,,,,,,0,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/15,2021,2,15,,-2.8,,-8.4,,-5.6,,23.6,,0,,,,,,5.4,,6,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/16,2021,2,16,,-6.4,,-12,,-9.2,,27.2,,0,,,,,,5.5,,16,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/17,2021,2,17,,-2.5,,-12.7,,-7.6,,25.6,,0,,,,,,0,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/18,2021,2,18,,-2.6,,-6.2,,-4.4,,22.4,,0,,,,,,3.7,,13,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/19,2021,2,19,,-1.7,,-5.6,,-3.6,,21.6,,0,,,,,,2.4,,19,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/20,2021,2,20,,-0.9,,-7.3,,-4.1,,22.1,,0,,,,,,0,,20,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/21,2021,2,21,,0.1,,-8.5,,-4.2,,22.2,,0,,,,,,0,,18,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/22,2021,2,22,,3.5,,-0.3,,1.6,,16.4,,0,,,,,,7.7,,20,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/23,2021,2,23,,5.3,,0.2,,2.7,,15.3,,0,,,,,,0.5,,16,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/24,2021,2,24,,9.1,,0.7,,4.9,,13.1,,0,,,,,,0,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/25,2021,2,25,,2.2,,-2.6,,-0.2,,18.2,,0,,,,,,0,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/26,2021,2,26,,3.3,,-3.8,,-0.3,,18.3,,0,,,,,,0,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2021/2/27,2021,2,27,,6.4,,1,,3.7,,14.3,,0,,,,,,6.5,,7,,,M,,M
