Date,Total_Delay_Min,Delay_Count,Total_Precip_mm,Mean_Temp_C,Snow_On_Grnd_cm,DayOfWeek
2021-04-07,36,20,0.0,11.8,0.0,Wednesday
2021-04-08,36,11,0.0,14.9,0.0,Thursday
2021-04-09,18,10,0.8,14.7,0.0,Friday
2021-04-10,14,11,0.0,15.2,0.0,Saturday
2021-04-11,190,26,16.3,13.3,0.0,Sunday
2021-04-12,163,19,7.0,8.8,0.0,Monday
2021-04-13,24,12,0.0,10.6,0.0,Tuesday
2021-04-14,24,23,0.4,10.4,0.0,Wednesday
2021-04-15,35,19,0.8,7.0,0.0,Thursday
2021-04-16,38,21,0.4,8.0,0.0,Friday
2021-04-17,22,14,0.0,8.0,0.0,Saturday
2021-04-18,60,23,0.0,8.9,0.0,Sunday
2021-04-19,54,21,0.7,10.6,0.0,Monday
2021-04-20,56,21,1.2,3.1,0.0,Tuesday
2021-04-21,50,25,4.0,1.5,0.0,Wednesday
2021-04-22,72,25,0.0,2.6,0.0,Thursday
2021-04-23,32,14,0.0,9.9,0.0,Friday
2021-04-24,48,12,0.0,12.3,0.0,Saturday
2021-04-25,77,12,0.8,7.2,0.0,Sunday
2021-04-26,56,19,1.4,4.2,0.0,Monday
2021-04-27,65,17,4.3,8.5,0.0,Tuesday
2021-04-28,68,20,7.0,12.5,0.0,Wednesday
2021-04-29,25,20,9.0,9.5,0.0,Thursday
2021-04-30,118,23,0.0,7.3,0.0,Friday
2021-05-01,82,11,0.0,7.4,0.0,Saturday
2021-05-02,54,16,0.1,13.0,0.0,Sunday
2021-05-03,61,23,2.4,10.5,0.0,Monday
2021-05-04,56,20,1.5,9.4,0.0,Tuesday
2021-05-05,29,19,0.0,9.6,0.0,Wednesday
2021-05-06,77,17,0.0,8.7,0.0,Thursday
2021-05-07,7,10,0.1,7.6,0.0,Friday
2021-05-08,32,20,0.5,9.4,0.0,Saturday
2021-05-09,47,15,0.0,8.2,0.0,Sunday
2021-05-10,66,20,0.0,9.4,0.0,Monday
2021-05-11,48,20,0.0,8.1,0.0,Tuesday
2021-05-12,64,16,0.0,12.2,0.0,Wednesday
2021-05-13,29,15,0.0,14.1,0.0,Thursday
2021-05-14,65,25,0.0,14.9,0.0,Friday
2021-05-15,40,18,0.0,15.7,0.0,Saturday
2021-05-16,45,19,0.0,17.2,0.0,Sunday
2021-05-17,97,28,0.0,17.4,0.0,Monday
2021-05-18,44,17,0.0,19.9,0.0,Tuesday
2021-05-19,115,23,0.0,21.7,0.0,Wednesday
2021-05-20,30,15,0.0,24.1,0.0,Thursday
2021-05-21,92,30,0.0,24.5,0.0,Friday
2021-05-22,11,10,0.2,24.2,0.0,Saturday
2021-05-23,44,17,0.0,20.4,0.0,Sunday
2021-05-24,51,24,0.0,16.9,0.0,Monday
2021-05-25,56,19,0.0,22.9,0.0,Tuesday
2021-05-26,23,22,2.4,18.7,0.0,Wednesday
2021-05-27,48,21,0.0,13.8,0.0,Thursday
2021-05-28,101,33,13.5,7.1,0.0,Friday
2021-05-29,34,13,0.0,10.3,0.0,Saturday
2021-05-30,22,11,0.0,13.5,0.0,Sunday
2021-05-31,63,29,0.0,15.0,0.0,Monday
2021-06-01,47,23,0.0,19.7,0.0,Tuesday
2021-06-02,10,13,5.5,19.2,0.0,Wednesday
2021-06-03,42,24,3.3,18.1,0.0,Thursday
2021-06-04,39,18,0.0,20.1,0.0,Friday
2021-06-05,83,26,0.0,25.1,0.0,Saturday
2021-06-06,119,18,0.0,24.7,0.0,Sunday
2021-06-07,80,23,0.0,24.4,0.0,Monday
2021-06-08,18,15,5.0,23.2,0.0,Tuesday
2021-06-09,12,17,0.0,24.7,0.0,Wednesday
2021-06-10,44,18,0.0,21.2,0.0,Thursday
2021-06-11,114,19,0.0,20.7,0.0,Friday
2021-06-12,42,18,0.0,21.3,0.0,Saturday
2021-06-13,3,14,4.3,21.8,0.0,Sunday
2021-06-14,42,23,2.5,19.2,0.0,Monday
2021-06-15,56,23,0.0,19.2,0.0,Tuesday
2021-06-16,24,19,0.0,17.4,0.0,Wednesday
