Date,Total_Delay_Min,Delay_Count,Total_Precip_mm,Mean_Temp_C,Snow_On_Grnd_cm,DayOfWeek
2022-05-03,34,18,12.8,10.9,0.0,Tuesday
2022-05-04,78,27,4.3,13.2,0.0,Wednesday
2022-05-05,48,25,0.0,11.3,0.0,Thursday
2022-05-06,48,17,0.0,12.8,0.0,Friday
2022-05-07,84,21,0.0,10.5,0.0,Saturday
2022-05-08,94,20,0.0,12.4,0.0,Sunday
2022-05-09,53,16,0.0,14.9,0.0,Monday
2022-05-10,57,24,0.0,16.0,0.0,Tuesday
2022-05-11,45,20,0.0,18.2,0.0,Wednesday
2022-05-12,112,16,0.0,19.2,0.0,Thursday
2022-05-13,96,26,0.0,20.6,0.0,Friday
2022-05-14,77,31,0.0,21.8,0.0,Saturday
2022-05-15,79,25,0.0,22.3,0.0,Sunday
2022-05-16,63,20,3.5,16.5,0.0,Monday
2022-05-17,88,19,0.0,12.8,0.0,Tuesday
2022-05-18,33,21,0.0,10.9,0.0,Wednesday
2022-05-19,85,28,1.3,14.7,0.0,Thursday
2022-05-20,214,28,0.0,17.6,0.0,Friday
2022-05-21,121,27,1.5,22.0,0.0,Saturday
2022-05-22,26,17,0.1,13.8,0.0,Sunday
2022-05-23,24,11,0.0,12.1,0.0,Monday
2022-05-24,46,18,0.0,13.8,0.0,Tuesday
2022-05-25,73,20,0.0,15.4,0.0,Wednesday
2022-05-26,85,26,0.2,20.1,0.0,Thursday
2022-05-27,75,24,3.2,19.2,0.0,Friday
2022-05-28,55,25,0.3,18.1,0.0,Saturday
2022-05-29,92,26,0.0,19.9,0.0,Sunday
2022-05-30,118,31,0.0,23.2,0.0,Monday
2022-05-31,79,22,0.0,25.7,0.0,Tuesday
2022-06-01,59,19,4.0,20.1,0.0,Wednesday
2022-06-02,90,20,0.0,16.5,0.0,Thursday
2022-06-03,175,24,0.0,17.1,0.0,Friday
2022-06-04,36,19,0.0,15.4,0.0,Saturday
2022-06-05,61,20,0.2,17.6,0.0,Sunday
2022-06-06,114,42,7.5,16.8,0.0,Monday
2022-06-07,101,32,31.7,17.0,0.0,Tuesday
2022-06-08,74,25,2.2,17.3,0.0,Wednesday
2022-06-09,55,20,5.6,18.1,0.0,Thursday
2022-06-10,123,29,0.0,18.3,0.0,Friday
2022-06-11,87,21,0.0,19.5,0.0,Saturday
2022-06-12,55,17,2.1,19.4,0.0,Sunday
2022-06-13,64,21,0.0,16.9,0.0,Monday
2022-06-14,19,23,0.0,20.8,0.0,Tuesday
2022-06-15,40,18,0.2,21.6,0.0,Wednesday
2022-06-16,73,31,0.0,25.7,0.0,Thursday
2022-06-17,329,27,0.0,20.6,0.0,Friday
2022-06-18,59,20,0.0,15.5,0.0,Saturday
2022-06-19,16,15,0.0,16.6,0.0,Sunday
2022-06-20,180,22,0.0,19.1,0.0,Monday
2022-06-21,95,29,0.0,23.6,0.0,Tuesday
2022-06-22,124,40,0.0,27.2,0.0,Wednesday
2022-06-23,129,27,0.0,22.5,0.0,Thursday
2022-06-24,91,22,0.0,21.5,0.0,Friday
2022-06-25,26,15,0.0,24.0,0.0,Saturday
2022-06-26,40,23,4.6,24.1,0.0,Sunday
2022-06-27,47,14,0.0,18.0,0.0,Monday
2022-06-28,24,16,0.0,17.3,0.0,Tuesday
2022-06-29,50,23,2.8,18.6,0.0,Wednesday
2022-06-30,42,18,0.0,20.4,0.0,Thursday
2022-07-01,87,20,0.3,24.2,0.0,Friday
2022-07-02,128,30,0.0,22.4,0.0,Saturday
2022-07-03,42,11,0.0,20.6,0.0,Sunday
2022-07-04,43,13,0.0,21.2,0.0,Monday
2022-07-05,32,18,5.4,22.7,0.0,Tuesday
2022-07-06,53,21,0.0,20.4,0.0,Wednesday
2022-07-07,88,23,0.0,21.1,0.0,Thursday
2022-07-08,42,17,0.0,22.5,0.0,Friday
2022-07-09,72,28,0.0,18.8,0.0,Saturday
2022-07-10,30,19,0.0,21.0,0.0,Sunday
2022-07-11,77,23,0.9,23.1,0.0,Monday
2022-07-12,66,20,1.8,23.5,0.0,Tuesday
2022-07-13,80,24,0.3,20.5,0.0,Wednesday
2022-07-14,57,29,0.0,21.0,0.0,Thursday
2022-07-15,7,19,0.0,21.3,0.0,Friday
2022-07-16,200,20,0.0,23.8,0.0,Saturday
2022-07-17,74,14,0.0,24.1,0.0,Sunday
2022-07-18,90,25,27.3,23.6,0.0,Monday
2022-07-19,104,25,0.0,27.6,0.0,Tuesday
2022-07-20,49,22,0.0,26.5,0.0,Wednesday
2022-07-21,36,17,0.0,26.6,0.0,Thursday
2022-07-22,17,13,0.0,25.6,0.0,Friday
2022-07-23,47,17,0.0,25.8,0.0,Saturday
2022-07-24,107,22,22.0,24.5,0.0,Sunday
2022-07-25,34,28,0.0,20.3,0.0,Monday
2022-07-26,439,27,0.0,19.9,0.0,Tuesday
2022-07-27,76,22,0.0,21.7,0.0,Wednesday
2022-07-28,71,18,0.8,24.5,0.0,Thursday
2022-07-29,83,20,0.0,22.6,0.0,Friday
2022-07-30,22,18,0.0,21.3,0.0,Saturday
2022-07-31,39,14,0.0,22.6,0.0,Sunday
2022-08-01,42,21,0.6,22.8,0.0,Monday
2022-08-02,24,19,0.0,22.3,0.0,Tuesday
2022-08-03,22,13,0.4,22.4,0.0,Wednesday
2022-08-04,24,19,16.1,24.3,0.0,Thursday
2022-08-05,72,25,0.0,25.2,0.0,Friday
2022-08-06,77,30,0.0,26.1,0.0,Saturday
2022-08-07,17,14,0.0,27.3,0.0,Sunday
2022-08-08,65,29,1.2,24.3,0.0,Monday
2022-08-09,63,21,0.0,20.7,0.0,Tuesday
2022-08-10,100,29,0.0,22.0,0.0,Wednesday
2022-08-11,46,23,0.0,21.6,0.0,Thursday
2022-08-12,150,28,0.0,20.9,0.0,Friday
2022-08-13,155,29,0.0,19.4,0.0,Saturday
2022-08-14,11,12,0.0,21.4,0.0,Sunday
2022-08-15,49,16,0.0,23.0,0.0,Monday
2022-08-16,100,22,0.0,23.5,0.0,Tuesday
2022-08-17,57,20,0.0,23.1,0.0,Wednesday
2022-08-18,44,18,0.0,24.0,0.0,Thursday
2022-08-19,168,34,0.4,23.2,0.0,Friday
2022-08-20,112,22,0.8,24.8,0.0,Saturday
2022-08-21,61,24,10.4,22.8,0.0,Sunday
2022-08-22,70,26,28.7,22.2,0.0,Monday
2022-08-23,36,12,0.0,24.3,0.0,Tuesday
2022-08-24,49,23,0.0,23.1,0.0,Wednesday
2022-08-25,31,15,2.7,21.7,0.0,Thursday
2022-08-26,41,29,0.0,22.0,0.0,Friday
2022-08-27,64,31,0.0,18.6,0.0,Saturday
2022-08-28,60,20,0.0,22.9,0.0,Sunday
2022-08-29,120,33,0.0,25.4,0.0,Monday
2022-08-30,126,16,3.2,22.1,0.0,Tuesday
2022-08-31,36,14,0.0,21.7,0.0,Wednesday
2022-09-01,89,24,0.0,17.3,0.0,Thursday
2022-09-02,68,19,0.0,21.8,0.0,Friday
2022-09-03,96,26,0.2,23.9,0.0,Saturday
2022-09-04,52,16,0.1,19.1,0.0,Sunday
2022-09-05,54,17,0.0,18.6,0.0,Monday
2022-09-06,85,31,0.0,19.3,0.0,Tuesday
2022-09-07,50,28,0.0,20.5,0.0,Wednesday
2022-09-08,82,26,0.0,21.1,0.0,Thursday
2022-09-09,80,30,0.0,21.9,0.0,Friday
2022-09-10,74,28,0.0,23.1,0.0,Saturday
2022-09-11,67,23,0.0,21.9,0.0,Sunday
2022-09-12,61,30,5.3,20.9,0.0,Monday
2022-09-13,122,33,0.4,17.4,0.0,Tuesday
2022-09-14,102,32,0.0,18.8,0.0,Wednesday
2022-09-15,85,30,0.0,14.4,0.0,Thursday
2022-09-16,20,18,0.0,17.6,0.0,Friday
2022-09-17,65,20,0.0,20.4,0.0,Saturday
2022-09-18,90,18,3.5,23.5,0.0,Sunday
2022-09-19,54,24,4.2,21.9,0.0,Monday
2022-09-20,51,20,0.0,21.0,0.0,Tuesday
2022-09-21,37,23,0.0,22.0,0.0,Wednesday
2022-09-22,79,28,0.0,13.7,0.0,Thursday
2022-09-23,38,19,0.0,11.5,0.0,Friday
2022-09-24,70,24,0.0,12.8,0.0,Saturday
2022-09-25,73,21,39.2,15.6,0.0,Sunday
2022-09-26,86,29,3.9,14.4,0.0,Monday
2022-09-27,97,26,4.0,14.7,0.0,Tuesday
2022-09-28,111,33,0.0,12.1,0.0,Wednesday
2022-09-29,62,29,0.0,11.8,0.0,Thursday
2022-09-30,185,28,0.0,12.6,0.0,Friday
2022-10-01,149,27,0.0,14.8,0.0,Saturday
2022-10-02,57,25,0.0,11.8,0.0,Sunday
2022-10-03,200,32,0.0,10.6,0.0,Monday
2022-10-04,56,27,0.0,12.8,0.0,Tuesday
2022-10-05,101,31,0.0,15.4,0.0,Wednesday
2022-10-06,82,23,0.2,17.6,0.0,Thursday
2022-10-07,47,29,0.3,9.8,0.0,Friday
2022-10-08,108,27,0.0,7.5,0.0,Saturday
2022-10-09,91,24,0.0,11.4,0.0,Sunday
2022-10-10,12,11,0.0,10.9,0.0,Monday
2022-10-11,83,36,0.0,14.1,0.0,Tuesday
2022-10-12,47,25,3.4,17.0,0.0,Wednesday
2022-10-13,129,34,11.0,11.6,0.0,Thursday
2022-10-14,37,26,0.5,10.5,0.0,Friday
2022-10-15,94,24,1.5,10.8,0.0,Saturday
2022-10-16,113,27,0.0,10.5,0.0,Sunday
2022-10-17,103,26,0.6,8.0,0.0,Monday
2022-10-18,44,25,2.0,5.7,0.0,Tuesday
2022-10-19,54,24,1.0,6.7,0.0,Wednesday
2022-10-20,63,19,0.0,4.9,0.0,Thursday
2022-10-21,70,30,0.0,8.9,0.0,Friday
2022-10-22,129,27,0.0,14.7,0.0,Saturday
2022-10-23,131,22,0.0,13.9,0.0,Sunday
2022-10-24,87,30,0.0,13.8,0.0,Monday
2022-10-25,83,25,0.0,14.5,0.0,Tuesday
2022-10-26,62,24,7.9,11.7,0.0,Wednesday
2022-10-27,92,28,,,0.0,Thursday
2022-10-28,108,37,0.0,7.1,0.0,Friday
2022-10-29,33,17,0.0,9.7,0.0,Saturday
2022-10-30,37,17,0.0,10.2,0.0,Sunday
2022-10-31,104,32,3.6,10.2,0.0,Monday
2022-11-01,86,20,4.9,14.5,0.0,Tuesday
2022-11-02,66,21,0.0,10.7,0.0,Wednesday
2022-11-03,38,20,0.0,9.3,0.0,Thursday
2022-11-04,42,21,0.0,13.7,0.0,Friday
2022-11-05,55,17,2.2,18.8,0.0,Saturday
2022-11-06,58,19,0.0,14.7,0.0,Sunday
2022-11-07,62,32,0.0,9.3,0.0,Monday
2022-11-08,230,32,0.0,7.1,0.0,Tuesday
2022-11-09,76,30,0.0,8.9,0.0,Wednesday
2022-11-10,52,22,0.0,13.5,0.0,Thursday
2022-11-11,20,23,8.3,13.5,0.0,Friday
2022-11-12,82,29,0.6,7.9,0.0,Saturday
2022-11-13,75,19,0.0,2.0,0.0,Sunday
2022-11-14,78,28,0.0,1.8,0.0,Monday
2022-11-15,226,42,17.6,0.6,0.0,Tuesday
2022-11-16,126,37,9.1,0.3,0.0,Wednesday
2022-11-17,115,31,0.1,0.1,0.0,Thursday
2022-11-18,76,28,0.0,0.6,0.0,Friday
2022-11-19,59,20,0.1,-2.0,0.0,Saturday
2022-11-20,90,30,0.2,-3.8,0.0,Sunday
2022-11-21,74,31,0.0,1.1,0.0,Monday
2022-11-22,135,21,0.0,2.7,0.0,Tuesday
2022-11-23,145,40,0.0,3.6,0.0,Wednesday
2022-11-24,57,21,0.0,4.7,0.0,Thursday
2022-11-25,36,21,0.9,6.0,0.0,Friday
2022-11-26,53,23,0.0,6.6,0.0,Saturday
2022-11-27,82,24,3.8,5.4,0.0,Sunday
2022-11-28,109,36,0.0,2.7,0.0,Monday
2022-11-29,301,35,0.0,4.2,0.0,Tuesday
2022-11-30,77,38,22.2,3.6,0.0,Wednesday
2022-12-01,86,25,0.0,-0.1,0.0,Thursday
2022-12-02,111,30,3.0,4.0,0.0,Friday
2022-12-03,23,16,5.4,5.4,0.0,Saturday
2022-12-04,38,19,0.0,0.3,0.0,Sunday
2022-12-05,145,28,0.0,4.2,0.0,Monday
2022-12-06,81,27,0.0,6.3,0.0,Tuesday
2022-12-07,76,33,0.0,7.1,0.0,Wednesday
2022-12-08,83,24,0.0,2.8,0.0,Thursday
2022-12-09,150,37,0.1,-0.2,0.0,Friday
2022-12-10,68,27,0.0,-2.4,0.0,Saturday
2022-12-11,63,20,4.4,-1.1,0.0,Sunday
2022-12-12,50,21,0.0,-3.2,3.0,Monday
2022-12-13,156,30,0.0,-2.6,3.0,Tuesday
2022-12-14,97,26,0.0,-2.3,3.0,Wednesday
2022-12-15,157,42,39.8,1.0,3.0,Thursday
2022-12-16,48,22,9.1,2.6,2.0,Friday
2022-12-17,96,38,0.0,0.3,0.0,Saturday
2022-12-18,223,26,0.0,-0.2,0.0,Sunday
2022-12-19,85,23,0.0,0.4,0.0,Monday
2022-12-20,81,38,0.0,0.0,0.0,Tuesday
2022-12-21,50,24,0.0,-0.7,0.0,Wednesday
2022-12-22,48,24,13.4,2.2,0.0,Thursday
2022-12-23,86,41,20.6,-4.7,0.0,Friday
2022-12-24,109,29,0.0,-11.1,1.0,Saturday
2022-12-25,39,19,0.0,-6.2,1.0,Sunday
2022-12-26,50,27,0.0,-6.2,0.0,Monday
2022-12-27,72,27,0.0,-2.8,0.0,Tuesday
2022-12-28,86,23,0.0,2.3,0.0,Wednesday
2022-12-29,41,22,0.0,6.9,0.0,Thursday
2022-12-30,106,22,9.6,10.4,0.0,Friday
2022-12-31,125,38,22.5,7.4,0.0,Saturday
2023-01-01,69,21,1.5,3.9,0.0,Sunday
2023-01-02,131,25,0.0,4.6,0.0,Monday
2023-01-03,52,19,3.3,3.6,0.0,Tuesday
2023-01-04,148,37,21.1,3.5,0.0,Wednesday
2023-01-05,23,16,0.2,4.0,0.0,Thursday
2023-01-06,26,20,0.0,4.0,0.0,Friday
2023-01-07,106,27,0.0,-0.5,0.0,Saturday
2023-01-08,92,21,0.0,-3.1,0.0,Sunday
2023-01-09,110,39,0.1,0.3,0.0,Monday
2023-01-10,45,23,0.0,-0.1,0.0,Tuesday
2023-01-11,40,22,0.1,-1.5,0.0,Wednesday
2023-01-12,128,35,6.0,2.4,0.0,Thursday
2023-01-13,60,35,2.5,-4.5,4.0,Friday
2023-01-14,81,18,0.0,-6.3,2.0,Saturday
2023-01-15,57,24,0.0,-4.7,2.0,Sunday
2023-01-16,89,31,0.1,-1.7,2.0,Monday
2023-01-17,78,24,4.0,3.5,0.0,Tuesday
2023-01-18,32,28,1.3,4.5,0.0,Wednesday
2023-01-19,30,27,4.8,2.7,0.0,Thursday
2023-01-20,39,26,1.7,1.5,0.0,Friday
2023-01-21,398,29,0.0,0.1,0.0,Saturday
2023-01-22,223,25,2.8,0.2,0.0,Sunday
2023-01-23,95,34,0.0,0.4,3.0,Monday
2023-01-24,66,32,0.0,1.2,0.0,Tuesday
2023-01-25,63,30,19.2,1.1,0.0,Wednesday
2023-01-26,68,27,1.9,-0.5,8.0,Thursday
2023-01-27,44,26,0.1,-0.1,8.0,Friday
2023-01-28,90,39,0.2,0.7,8.0,Saturday
2023-01-29,65,20,4.9,-2.2,8.0,Sunday
2023-01-30,49,26,0.0,-4.1,9.0,Monday
2023-01-31,138,39,0.0,-6.8,8.0,Tuesday
2023-02-01,40,28,0.0,-7.1,8.0,Wednesday
2023-02-02,111,31,0.0,-3.2,7.0,Thursday
2023-02-03,80,40,0.0,-14.9,7.0,Friday
2023-02-04,123,41,0.4,-10.1,8.0,Saturday
2023-02-05,112,24,0.0,2.6,9.0,Sunday
2023-02-06,145,57,0.0,0.5,6.0,Monday
2023-02-07,122,39,0.0,4.4,5.0,Tuesday
2023-02-08,159,50,0.0,5.0,1.0,Wednesday
2023-02-09,138,42,28.1,4.5,1.0,Thursday
2023-02-10,86,26,0.0,1.9,1.0,Friday
2023-02-11,98,30,0.0,-0.8,0.0,Saturday
2023-02-12,33,20,0.0,3.6,0.0,Sunday
2023-02-13,66,38,0.0,4.6,0.0,Monday
2023-02-14,41,35,0.0,4.0,0.0,Tuesday
2023-02-15,22,37,0.2,10.7,0.0,Wednesday
2023-02-16,57,49,4.7,3.2,0.0,Thursday
2023-02-17,97,28,5.7,-3.5,0.0,Friday
2023-02-18,17,19,0.0,-2.0,0.0,Saturday
2023-02-19,37,24,0.0,5.4,0.0,Sunday
2023-02-20,25,24,0.0,2.9,0.0,Monday
2023-02-21,22,33,0.2,3.1,0.0,Tuesday
2023-02-22,33,35,17.7,-3.5,0.0,Wednesday
2023-02-23,81,29,1.0,-4.1,12.0,Thursday
2023-02-24,168,33,0.0,-5.9,11.0,Friday
2023-02-25,46,35,0.9,-4.5,11.0,Saturday
2023-02-26,91,34,0.0,0.6,11.0,Sunday
2023-02-27,19,18,7.2,-2.3,7.0,Monday
2023-02-28,102,29,2.8,1.3,10.0,Tuesday
2023-03-01,67,34,0.0,1.6,8.0,Wednesday
2023-03-02,52,30,0.0,2.2,8.0,Thursday
2023-03-03,93,26,21.7,-0.3,6.0,Friday
2023-03-04,39,28,11.1,2.5,21.0,Saturday
2023-03-05,55,20,0.4,3.3,15.0,Sunday
2023-03-06,200,36,0.0,1.3,12.0,Monday
2023-03-07,33,25,0.0,0.0,11.0,Tuesday
2023-03-08,142,30,0.0,0.3,10.0,Wednesday
2023-03-09,88,42,0.0,1.1,9.0,Thursday
2023-03-10,78,37,9.0,-0.8,8.0,Friday
2023-03-11,289,35,0.3,-1.5,17.0,Saturday
2023-03-12,75,34,2.5,-1.3,14.0,Sunday
2023-03-13,223,35,0.5,-0.1,18.0,Monday
2023-03-14,102,29,0.0,-2.9,14.0,Tuesday
2023-03-15,92,42,0.0,0.7,13.0,Wednesday
2023-03-16,90,36,1.8,5.6,9.0,Thursday
2023-03-17,41,31,6.5,4.4,5.0,Friday
2023-03-18,53,27,0.4,-1.9,1.0,Saturday
2023-03-19,49,31,0.0,-2.8,0.0,Sunday
2023-03-20,93,27,0.0,2.9,0.0,Monday
2023-03-21,80,38,0.0,7.0,0.0,Tuesday
2023-03-22,67,35,0.0,4.8,0.0,Wednesday
2023-03-23,67,40,9.5,4.6,0.0,Thursday
2023-03-24,138,40,0.0,3.0,0.0,Friday
2023-03-25,96,31,23.8,5.7,0.0,Saturday
2023-03-26,91,33,0.0,6.8,0.0,Sunday
2023-03-27,143,50,1.0,4.6,0.0,Monday
2023-03-28,85,40,0.0,4.7,0.0,Tuesday
2023-03-29,172,50,2.1,3.0,0.0,Wednesday
2023-03-30,154,45,0.0,-0.4,0.0,Thursday
2023-03-31,88,43,10.0,3.0,0.0,Friday
2023-04-01,44,32,16.9,7.4,0.0,Saturday
2023-04-02,42,26,0.0,-0.4,0.0,Sunday
2023-04-03,46,31,0.0,8.2,0.0,Monday
2023-04-04,74,50,1.5,7.9,0.0,Tuesday
2023-04-05,131,37,26.0,7.6,0.0,Wednesday
2023-04-06,93,32,0.0,9.3,0.0,Thursday
2023-04-07,45,22,0.0,3.5,0.0,Friday
2023-04-08,96,26,0.0,2.3,0.0,Saturday
2023-04-09,20,19,0.0,5.8,0.0,Sunday
2023-04-10,49,29,0.0,10.9,0.0,Monday
2023-04-11,96,26,0.0,16.3,0.0,Tuesday
2023-04-12,45,33,0.0,20.2,0.0,Wednesday
2023-04-13,113,39,0.0,20.8,0.0,Thursday
2023-04-14,63,26,0.0,20.5,0.0,Friday
2023-04-15,69,30,0.0,19.2,0.0,Saturday
2023-04-16,55,26,6.0,16.1,0.0,Sunday
2023-04-17,180,31,0.6,6.9,0.0,Monday
2023-04-18,57,29,0.0,4.3,0.0,Tuesday
2023-04-19,141,42,0.0,5.3,0.0,Wednesday
2023-04-20,45,28,0.7,7.1,0.0,Thursday
2023-04-21,267,35,2.2,14.1,0.0,Friday
2023-04-22,121,35,16.9,9.7,0.0,Saturday
2023-04-23,30,21,0.0,7.3,0.0,Sunday
2023-04-24,84,37,2.2,6.1,0.0,Monday
2023-04-25,418,27,0.0,7.4,0.0,Tuesday
2023-04-26,81,32,0.0,5.8,0.0,Wednesday
2023-04-27,119,37,0.0,8.1,0.0,Thursday
2023-04-28,53,35,13.5,9.6,0.0,Friday
2023-04-29,86,33,6.8,8.2,0.0,Saturday
2023-04-30,49,29,12.2,9.2,0.0,Sunday
2023-05-01,182,38,1.3,8.4,0.0,Monday
2023-05-02,44,39,5.8,5.7,0.0,Tuesday
2023-05-03,122,44,5.1,6.7,0.0,Wednesday
2023-05-04,108,30,0.0,10.2,0.0,Thursday
2023-05-05,79,27,0.1,11.5,0.0,Friday
2023-05-06,55,23,0.0,12.9,0.0,Saturday
2023-05-07,103,35,11.1,13.6,0.0,Sunday
2023-05-08,47,29,0.0,14.4,0.0,Monday
2023-05-09,111,37,0.0,12.6,0.0,Tuesday
2023-05-10,85,23,0.0,13.6,0.0,Wednesday
2023-05-11,46,36,0.0,19.1,0.0,Thursday
2023-05-12,51,27,0.0,21.2,0.0,Friday
2023-05-13,85,35,0.0,18.4,0.0,Saturday
2023-05-14,149,36,0.0,13.2,0.0,Sunday
2023-05-15,58,29,0.0,16.5,0.0,Monday
2023-05-16,59,32,0.0,15.8,0.0,Tuesday
2023-05-17,44,29,0.0,6.5,0.0,Wednesday
2023-05-18,90,26,0.0,9.0,0.0,Thursday
2023-05-19,99,36,9.0,14.9,0.0,Friday
2023-05-20,62,20,15.5,14.6,0.0,Saturday
2023-05-21,36,24,0.0,17.5,0.0,Sunday
2023-05-22,23,18,0.0,13.9,0.0,Monday
2023-05-23,132,29,0.0,14.8,0.0,Tuesday
2023-05-24,53,34,0.0,11.9,0.0,Wednesday
2023-05-25,81,35,0.0,10.3,0.0,Thursday
2023-05-26,23,18,0.0,13.7,0.0,Friday
2023-05-27,74,28,0.0,17.8,0.0,Saturday
2023-05-28,39,31,0.0,19.3,0.0,Sunday
2023-05-29,32,15,0.0,20.7,0.0,Monday
2023-05-30,334,37,0.0,20.9,0.0,Tuesday
2023-05-31,30,31,0.0,23.5,0.0,Wednesday
2023-06-01,142,19,0.0,24.7,0.0,Thursday
2023-06-02,95,44,9.4,26.2,0.0,Friday
2023-06-03,119,33,0.0,19.6,0.0,Saturday
2023-06-04,70,17,0.0,16.7,0.0,Sunday
2023-06-05,89,30,0.0,18.3,0.0,Monday
2023-06-06,62,37,0.0,19.3,0.0,Tuesday
2023-06-07,149,35,0.0,17.2,0.0,Wednesday
2023-06-08,97,28,0.0,15.9,0.0,Thursday
2023-06-09,109,28,2.4,16.6,0.0,Friday
2023-06-10,41,29,0.0,20.0,0.0,Saturday
2023-06-11,39,30,7.0,19.1,0.0,Sunday
2023-06-12,68,28,50.1,15.8,0.0,Monday
2023-06-13,58,30,3.3,15.7,0.0,Tuesday
2023-06-14,63,27,1.3,15.9,0.0,Wednesday
2023-06-15,54,35,2.7,16.0,0.0,Thursday
2023-06-16,176,37,0.0,18.7,0.0,Friday
2023-06-17,0,16,0.0,19.6,0.0,Saturday
2023-06-18,73,19,0.0,19.8,0.0,Sunday
2023-06-19,25,30,0.0,20.3,0.0,Monday
2023-06-20,64,26,0.0,21.5,0.0,Tuesday
2023-06-21,98,39,0.0,22.5,0.0,Wednesday
2023-06-22,54,43,0.0,21.3,0.0,Thursday
2023-06-23,255,30,4.6,21.3,0.0,Friday
2023-06-24,68,34,0.1,24.0,0.0,Saturday
2023-06-25,103,39,8.8,23.9,0.0,Sunday
2023-06-26,145,39,7.5,21.7,0.0,Monday
2023-06-27,86,42,5.8,19.6,0.0,Tuesday
2023-06-28,202,35,0.0,19.5,0.0,Wednesday
2023-06-29,148,30,0.0,19.9,0.0,Thursday
2023-06-30,80,34,0.2,21.8,0.0,Friday
2023-07-01,59,26,0.4,24.0,0.0,Saturday
2023-07-02,18,26,0.9,22.2,0.0,Sunday
2023-07-03,57,32,2.2,22.4,0.0,Monday
2023-07-04,52,23,0.0,25.5,0.0,Tuesday
2023-07-05,87,30,0.0,26.9,0.0,Wednesday
2023-07-06,210,36,1.1,26.1,0.0,Thursday
2023-07-07,76,31,0.0,23.2,0.0,Friday
2023-07-08,89,33,0.2,20.3,0.0,Saturday
2023-07-09,69,30,0.0,21.4,0.0,Sunday
2023-07-10,64,24,0.0,22.6,0.0,Monday
2023-07-11,108,33,1.8,24.4,0.0,Tuesday
2023-07-12,138,37,0.0,20.2,0.0,Wednesday
2023-07-13,86,26,34.1,20.9,0.0,Thursday
2023-07-14,72,36,0.0,20.7,0.0,Friday
2023-07-15,84,34,8.8,22.1,0.0,Saturday
2023-07-16,14,23,1.1,23.6,0.0,Sunday
2023-07-17,55,23,0.0,23.2,0.0,Monday
2023-07-18,61,23,0.4,22.0,0.0,Tuesday
2023-07-19,44,23,0.0,20.8,0.0,Wednesday
2023-07-20,113,31,2.9,22.9,0.0,Thursday
2023-07-21,43,26,0.0,22.5,0.0,Friday
2023-07-22,50,28,0.0,23.1,0.0,Saturday
2023-07-23,12,25,1.2,22.4,0.0,Sunday
2023-07-24,360,33,7.3,22.4,0.0,Monday
2023-07-25,115,32,2.5,22.6,0.0,Tuesday
2023-07-26,91,32,6.2,24.7,0.0,Wednesday
2023-07-27,129,46,14.3,25.4,0.0,Thursday
2023-07-28,116,29,0.0,25.2,0.0,Friday
2023-07-29,159,41,12.8,20.9,0.0,Saturday
2023-07-30,29,23,0.0,19.5,0.0,Sunday
2023-07-31,60,25,0.0,20.6,0.0,Monday
2023-08-01,189,27,0.0,19.7,0.0,Tuesday
2023-08-02,145,42,0.1,20.3,0.0,Wednesday
2023-08-03,90,32,5.8,23.5,0.0,Thursday
2023-08-04,55,22,0.0,22.6,0.0,Friday
2023-08-05,159,26,0.0,21.3,0.0,Saturday
2023-08-06,53,24,3.8,20.1,0.0,Sunday
2023-08-07,97,28,5.9,22.2,0.0,Monday
2023-08-08,131,31,0.0,21.4,0.0,Tuesday
2023-08-09,58,31,0.0,22.8,0.0,Wednesday
2023-08-10,32,25,0.0,22.6,0.0,Thursday
2023-08-11,188,40,0.0,20.7,0.0,Friday
2023-08-12,68,37,1.7,24.6,0.0,Saturday
2023-08-13,76,23,0.0,21.7,0.0,Sunday
2023-08-14,51,30,0.0,20.0,0.0,Monday
2023-08-15,34,26,2.8,20.9,0.0,Tuesday
2023-08-16,71,27,0.0,22.4,0.0,Wednesday
2023-08-17,214,42,6.1,21.8,0.0,Thursday
2023-08-18,31,31,0.0,17.8,0.0,Friday
2023-08-19,43,31,0.0,19.7,0.0,Saturday
2023-08-20,30,12,0.0,21.9,0.0,Sunday
2023-08-21,40,34,0.0,21.5,0.0,Monday
2023-08-22,36,26,0.0,19.9,0.0,Tuesday
2023-08-23,77,39,2.4,18.3,0.0,Wednesday
2023-08-24,28,18,14.3,20.5,0.0,Thursday
2023-08-25,55,24,0.0,22.2,0.0,Friday
2023-08-26,23,22,0.6,20.0,0.0,Saturday
2023-08-27,52,28,0.0,17.8,0.0,Sunday
2023-08-28,29,24,0.0,19.0,0.0,Monday
2023-08-29,341,43,2.4,19.6,0.0,Tuesday
2023-08-30,30,30,0.0,17.0,0.0,Wednesday
2023-08-31,62,36,0.0,16.8,0.0,Thursday
2023-09-01,95,22,0.0,18.8,0.0,Friday
2023-09-02,38,24,0.0,21.2,0.0,Saturday
2023-09-03,81,24,0.0,23.2,0.0,Sunday
2023-09-04,29,19,0.0,26.9,0.0,Monday
2023-09-05,41,28,0.0,26.4,0.0,Tuesday
2023-09-06,46,31,0.0,26.7,0.0,Wednesday
2023-09-07,102,35,5.4,22.9,0.0,Thursday
2023-09-08,75,33,0.0,18.4,0.0,Friday
2023-09-09,68,26,0.0,18.7,0.0,Saturday
2023-09-10,27,20,0.0,20.7,0.0,Sunday
