Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2023/1/22,2023,1,22,,2.1,,-1.6,,0.2,,17.8,,0,,,,,,2.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/23,2023,1,23,,2.7,,-2,,0.4,,17.6,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/24,2023,1,24,,3.2,,-0.7,,1.2,,16.8,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/25,2023,1,25,,2.6,,-0.4,,1.1,,16.9,,0,,,,,,19.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/26,2023,1,26,,2.5,,-3.5,,-0.5,,18.5,,0,,,,,,1.9,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/27,2023,1,27,,1.2,,-1.4,,-0.1,,18.1,,0,,,,,,0.1,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/28,2023,1,28,,2.7,,-1.3,,0.7,,17.3,,0,,,,,,0.2,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/29,2023,1,29,,1.3,,-5.6,,-2.2,,20.2,,0,,,,,,4.9,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/30,2023,1,30,,-1.1,,-7.1,,-4.1,,22.1,,0,,,,,,0,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/1/31,2023,1,31,,-3.8,,-9.7,,-6.8,,24.8,,0,,,,,,0,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/1,2023,2,1,,-3.7,,-10.6,,-7.1,,25.1,,0,,,,,,0,,8,,,M,,M
